life cycle
25.4
18.9
3.4
2.1
2
5.1
4
3.6
2.4
29.3
2.9
14.7
8.7
23.5
8.1
10.9
2.9
41
19.9
18.4
12.4
16.5
6.1
21.5
4.1
7.7
1.1
7.7
7.3
11
